id,Name,Year,Kilometers_Driven,Location,Fuel_Type,Transmission,Engine,Power,Mileage,Seats,Owner_Type,New_Price,Price
577,Hyundai i20 Sportz 1.4 CRDi,2019,65311,Hyderabad,Diesel,Manual,1396 CC,88.76 bhp,21.9 kmpl,5,First,,14.34
578,Hyundai Grand i10 Asta Option,2017,26017,Mumbai,Petrol,Manual,1197 CC,82 bhp,18.9 kmpl,5,First,,8.37
579,Maruti SX4 S Cross DDiS 320 Zeta,2018,66657,Coimbatore,Diesel,Manual,1598 CC,118 bhp,22.7 kmpl,5,First,,18.42
580,Maruti Swift AMT VDI,2018,11784,Delhi,Diesel,Automatic,1248 CC,74 bhp,28.4 kmpl,5,First,,15.45
581,Hyundai Creta 1.6 CRDi AT SX Plus,2019,35199,Kochi,Diesel,Automatic,1582 CC,126.2 bhp,17.01 kmpl,5,First,,26.05
582,ISUZU D-MAX V-Cross 4X4,2019,20017,Coimbatore,Diesel,Manual,2499 CC,134 bhp,12.4 kmpl,5,First,,33.11
583,Maruti Eeco CNG 5 Seater AC,2017,47509,Ahmedabad,CNG,Manual,1196 CC,63 bhp,20.0 km/kg,5,First,5.36 Lakh,7.73
584,Honda BR-V i-VTEC S MT,2018,9509,Pune,Petrol,Manual,1497 CC,117.3 bhp,15.4 kmpl,7,First,12.51 Lakh,15.99
585,Hyundai Verna 1.6 SX CRDi (O),2018,67976,Coimbatore,Diesel,Manual,1582 CC,126.32 bhp,22.32 kmpl,5,First,,13.51
586,Mercedes-Benz E-Class 200 Kompressor Elegance,2013,30636,Bangalore,Petrol,Automatic,1796 CC,157.7 bhp,10.5 kmpl,5,Second,,38
587,Honda Amaze S i-Vtech,2017,45420,Kochi,Petrol,Manual,1198 CC,86.7 bhp,18.0 kmpl,5,First,,10.49
588,Audi A4 35 TDI Premium,2016,38096,Coimbatore,Diesel,Automatic,1968 CC,174.33 bhp,17.11 kmpl,5,First,,50.73
589,Hyundai Santro GLS I - Euro I,2013,69343,Pune,Petrol,Manual,1086 CC,null bhp,0.0 kmpl,5,First,,4.22
590,Ford Figo 2015-2019 1.2P Trend MT,2019,38303,Coimbatore,Petrol,Manual,1196 CC,86.8 bhp,18.16 kmpl,5,First,,10.3
591,Volkswagen Polo IPL II 1.2 Petrol Highline,2014,73152,Pune,Petrol,Manual,1198 CC,73.9 bhp,17.24 kmpl,5,Second,,6.13
592,Chevrolet Enjoy 1.3 TCDi LTZ 8,2014,49528,Chennai,Diesel,Manual,1248 CC,73.74 bhp,18.2 kmpl,8,First,,9.41
593,Volkswagen Vento 2013-2015 1.6 Comfortline,2019,22802,Mumbai,Petrol,Manual,1598 CC,103.2 bhp,15.04 kmpl,5,First,,10.64
594,Toyota Etios VX,2018,35491,Coimbatore,Petrol,Manual,1496 CC,88.73 bhp,16.78 kmpl,5,First,,13.16
595,Honda City i VTEC CVT VX,2020,46948,Mumbai,Petrol,Automatic,1497 CC,117.3 bhp,18.0 kmpl,5,First,,17.18
596,Honda Jazz 1.2 V CVT i VTEC,2019,62527,Coimbatore,Petrol,Automatic,1199 CC,88.7 bhp,19.0 kmpl,5,Second,,10.97
597,Honda Jazz 1.2 VX i VTEC,2020,15957,Mumbai,Petrol,Manual,1199 CC,88.7 bhp,18.7 kmpl,5,First,,12.42
598,Hyundai Accent GLE 1,2008,55096,Chennai,Petrol,Manual,1495 CC,94 bhp,13.2 kmpl,5,First,,5.43
599,Volkswagen Polo 1.5 TDI Highline,2020,31890,Coimbatore,Diesel,Manual,1498 CC,88 bhp,20.14 kmpl,5,First,10.32 Lakh,15.66
600,Hyundai i10 Sportz 1.1L,2017,25878,Kolkata,Petrol,Manual,1086 CC,68.05 bhp,19.81 kmpl,5,Second,,6.27
601,Mercedes-Benz New C-Class 220 CDI AT,2012,66813,Hyderabad,Diesel,Automatic,2143 CC,170 bhp,14.84 kmpl,5,First,,23.89
602,Hyundai Verna 1.6 SX,2012,116712,Jaipur,Diesel,Manual,1582 CC,126.32 bhp,22.32 kmpl,5,Second,,9.68
603,Maruti SX4 S Cross DDiS 200 Zeta,2020,85831,Hyderabad,Diesel,Manual,1248 CC,88.5 bhp,23.65 kmpl,5,First,,17.7
604,Tata Indica V2 DLS,2008,79303,Chennai,Diesel,Manual,1396 CC,53.5 bhp,17.2 kmpl,5,First,,2.36
605,Audi A4 2.0 TFSI,2015,39566,Mumbai,Petrol,Automatic,1984 CC,132 bhp,10.8 kmpl,5,First,,22.8
606,Honda Accord V6 AT,2007,121269,Chennai,Petrol,Automatic,2997 CC,218 bhp,9.0 kmpl,5,Second,,5.01
607,Maruti Wagon R LXI CNG,2020,84035,Ahmedabad,CNG,Manual,998 CC,58.16 bhp,26.6 km/kg,5,First,,6.34
608,Skoda Rapid 1.5 TDI AT Style,2018,29190,Kolkata,Diesel,Automatic,1498 CC,108.4 bhp,21.72 kmpl,5,First,15.34 Lakh,20.35
609,BMW X3 xDrive20d xLine,2020,40351,Kochi,Diesel,Automatic,1995 CC,190 bhp,18.56 kmpl,5,First,,64.61
610,Audi Q3 35 TDI Quattro Premium,2017,27515,Chennai,Diesel,Automatic,1968 CC,174.33 bhp,15.73 kmpl,5,First,,48.45
611,Maruti Alto 800 LXI,2019,21672,Chennai,Petrol,Manual,796 CC,47.3 bhp,22.74 kmpl,5,First,,5.17
612,Nissan Micra XV,2011,42752,Kolkata,Petrol,Manual,1198 CC,75 bhp,18.06 kmpl,5,First,,5.19
613,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2016,168044,Pune,Diesel,Manual,2494 CC,100 bhp,12.99 kmpl,8,First,,24.85
614,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,2012,48964,Mumbai,Diesel,Automatic,2143 CC,203 bhp,14.21 kmpl,5,Second,,28.35
615,Hyundai i20 1.2 Sportz,2017,42450,Ahmedabad,Petrol,Manual,1197 CC,80 bhp,17.0 kmpl,5,First,,10.4
616,Audi Q7 45 TDI Quattro Premium Plus,2019,7428,Kochi,Diesel,Automatic,2967 CC,245 bhp,14.75 kmpl,7,First,91.38 Lakh,141.36
617,Hyundai Grand i10 1.2 Kappa Magna,2019,11720,Delhi,Petrol,Manual,1197 CC,81.86 bhp,18.9 kmpl,5,First,6.54 Lakh,9.75
618,Chevrolet Beat Diesel,2012,73749,Hyderabad,Diesel,Manual,936 CC,57.6 bhp,25.44 kmpl,5,First,,4.97
619,Nissan Terrano XL Plus 85 PS,2017,63055,Jaipur,Diesel,Manual,1461 CC,83.8 bhp,20.45 kmpl,5,First,,11.7
620,Maruti Ertiga VDI,2012,161284,Pune,Diesel,Manual,1248 CC,88.76 bhp,20.77 kmpl,7,First,,8.77
621,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,2009,200253,Pune,Petrol,Automatic,1796 CC,186 bhp,11.74 kmpl,5,Second,,12
622,Hyundai Verna 1.6 CRDi S,2017,58156,Delhi,Diesel,Manual,1582 CC,126.2 bhp,23.9 kmpl,5,First,,12.87
623,Ford Figo Diesel EXI,2015,141423,Jaipur,Diesel,Manual,1399 CC,68 bhp,20.0 kmpl,5,First,,4.89
624,Maruti Swift Dzire Tour LDI,2016,78069,Chennai,Diesel,Manual,1248 CC,74 bhp,23.4 kmpl,5,First,,8.97
625,Maruti Baleno Alpha 1.2,2019,23856,Kochi,Petrol,Manual,1197 CC,83.1 bhp,21.4 kmpl,5,First,,15.63
626,Volkswagen Vento Petrol Comfortline,2016,68516,Kolkata,Petrol,Manual,1598 CC,103.6 bhp,15.04 kmpl,5,First,,8.34
627,Toyota Etios Liva V,2016,25023,Pune,Petrol,Manual,,,18.3 kmpl,,Second,,6.07
628,Hyundai i20 Magna,2009,65598,Chennai,Petrol,Manual,1197 CC,80 bhp,18.5 kmpl,5,Second,,4.66
629,Maruti Ciaz VXi Plus,2018,45729,Kochi,Petrol,Manual,1373 CC,91.1 bhp,20.73 kmpl,5,First,,13.27
630,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,2014,74477,Kochi,Diesel,Automatic,1968 CC,138.03 bhp,16.96 kmpl,5,First,,13.15
631,Audi A6 2.0 TDI Design Edition,2016,26629,Kolkata,Diesel,Automatic,1968 CC,187.74 bhp,18.53 kmpl,5,First,,33.33
632,BMW 3 Series 320d Luxury Line,2015,65237,Jaipur,Diesel,Automatic,1995 CC,184 bhp,18.88 kmpl,5,First,,27
633,Honda City i VTEC CVT VX,2020,37162,Kochi,Petrol,Automatic,1497 CC,117.3 bhp,18.0 kmpl,5,First,,24.99
634,Hyundai i20 1.2 Sportz,2013,51858,Pune,Petrol,Manual,1197 CC,80 bhp,17.0 kmpl,5,First,,6.08
635,Hyundai i10 Sportz 1.2 AT,2015,45224,Kochi,Petrol,Automatic,1197 CC,78.9 bhp,16.95 kmpl,5,First,,6.75
636,Toyota Fortuner 4x2 AT,2017,99399,Coimbatore,Diesel,Automatic,2982 CC,168.5 bhp,12.55 kmpl,7,First,,44.85
637,Tata Indigo XL Grand Petrol,2010,48417,Pune,Petrol,Manual,1396 CC,99.6 bhp,12.85 kmpl,5,Second,,2.7
638,Maruti Alto LXi BSII,2010,52953,Mumbai,Petrol,Manual,796 CC,46.3 bhp,19.7 kmpl,5,First,,2.1
639,Maruti Swift Dzire LXI,2018,104929,Kolkata,Petrol,Manual,1197 CC,83.14 bhp,20.85 kmpl,5,First,,7.87
640,Honda Jazz VX,2017,8168,Chennai,Petrol,Manual,1199 CC,88.7 bhp,18.2 kmpl,5,First,9.1 Lakh,16.12
641,Mercedes-Benz S Class 2005 2013 S 350 L,2009,44812,Bangalore,Petrol,Automatic,3498 CC,364.9 bhp,10.13 kmpl,5,Second,,36.87
642,Honda City 1.5 V AT,2015,61005,Kochi,Petrol,Automatic,1497 CC,118 bhp,16.8 kmpl,5,First,,12.06
643,Maruti Wagon R LXI,2008,62876,Chennai,Petrol,Manual,998 CC,67.1 bhp,18.9 kmpl,5,Second,,2.44
644,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,2014,46126,Bangalore,Diesel,Automatic,2143 CC,203 bhp,14.21 kmpl,5,First,,46.45
645,Ford Ecosport 1.5 DV5 MT Ambiente,2018,155365,Kochi,Diesel,Manual,1498 CC,89.84 bhp,22.7 kmpl,5,First,,9.24
646,Tata Nano XTA,2017,16751,Bangalore,Petrol,Automatic,624 CC,37.48 bhp,21.9 kmpl,4,Second,,5.05
647,Volkswagen Vento 2013-2015 1.6 Comfortline,2019,40201,Kolkata,Petrol,Manual,1598 CC,103.2 bhp,15.04 kmpl,5,First,,8.18
648,Honda City i VTEC SV,2015,52949,Kolkata,Petrol,Manual,1497 CC,117.3 bhp,17.4 kmpl,5,First,,11.7
649,Maruti Swift 1.3 VXi,2010,68139,Delhi,Petrol,Manual,,,16.1 kmpl,,First,,3.15
650,Hyundai Verna SX CRDi AT,2013,98036,Bangalore,Diesel,Automatic,1582 CC,126.32 bhp,19.08 kmpl,5,Second,,12.1
651,Maruti Alto 800 2016-2019 LXI,2020,5894,Chennai,Petrol,Manual,796 CC,47.3 bhp,24.7 kmpl,5,First,,5.77
652,Toyota Etios VXD,2013,118862,Pune,Diesel,Manual,1364 CC,67.1 bhp,23.59 kmpl,5,First,,10.08
653,Honda City i-VTEC S,2017,9831,Mumbai,Petrol,Manual,1497 CC,117.3 bhp,17.4 kmpl,5,First,,13.94
654,Mercedes-Benz A Class A180 CDI,2015,39241,Mumbai,Diesel,Automatic,2143 CC,107.3 bhp,20.0 kmpl,5,First,,27.58
655,Honda Amaze S i-Dtech,2015,52532,Kolkata,Diesel,Manual,1498 CC,98.6 bhp,25.8 kmpl,5,First,,6.3
656,Audi A4 2.0 TDI,2015,36399,Delhi,Diesel,Automatic,1968 CC,147.51 bhp,16.55 kmpl,5,Second,,27.17
657,Honda Amaze S i-Dtech,2018,46131,Kochi,Diesel,Manual,1498 CC,98.6 bhp,25.8 kmpl,5,First,,9.98
658,Maruti Wagon R LXI CNG,2013,67029,Mumbai,CNG,Manual,998 CC,58.2 bhp,26.2 km/kg,5,First,,4.47
659,Hyundai Verna 1.6 SX VTVT,2020,38296,Kochi,Petrol,Manual,1591 CC,121.3 bhp,17.01 kmpl,5,First,,16.45
660,Chevrolet Beat Diesel LT,2013,65587,Hyderabad,Diesel,Manual,936 CC,57.6 bhp,25.44 kmpl,5,First,,5.4
661,Skoda Rapid 1.5 TDI AT Elegance,2020,46671,Coimbatore,Diesel,Automatic,1498 CC,103.52 bhp,21.66 kmpl,5,First,,16.73
662,Ford EcoSport 1.5 TDCi Titanium,2014,60907,Bangalore,Diesel,Manual,1498 CC,98.59 bhp,22.77 kmpl,5,First,,12.29
663,Renault Duster Petrol RxL,2016,73518,Mumbai,Petrol,Manual,1598 CC,102.53 bhp,13.06 kmpl,5,First,,8.29
664,Maruti Celerio VXI,2015,67019,Bangalore,Petrol,Manual,998 CC,67.04 bhp,23.1 kmpl,5,First,,7.56
665,Skoda Fabia 1.2 MPI Ambiente Petrol,2013,81940,Hyderabad,Petrol,Manual,1198 CC,75 bhp,17.5 kmpl,5,First,,6.27
666,Hyundai EON D Lite,2013,30989,Pune,Petrol,Manual,814 CC,55.2 bhp,21.1 kmpl,5,First,,3.89
667,Honda Amaze VX i-DTEC,2019,64195,Kochi,Diesel,Manual,1498 CC,98.6 bhp,25.8 kmpl,5,First,,11.47
668,BMW 3 Series 320d GT Luxury Line,2017,8834,Mumbai,Diesel,Automatic,1995 CC,187.74 bhp,19.59 kmpl,5,First,,67.13
669,Maruti Ciaz VDi Plus,2019,78273,Jaipur,Diesel,Manual,1248 CC,88.5 bhp,26.21 kmpl,5,First,,13.31
670,Hyundai Verna 1.6 VTVT,2018,39292,Kochi,Petrol,Manual,1591 CC,121.3 bhp,17.01 kmpl,5,First,,15.2
671,Honda City i DTEC V,2016,53253,Kolkata,Diesel,Manual,1498 CC,98.6 bhp,26.0 kmpl,5,First,,11.96
672,Volkswagen Polo 1.5 TDI Highline,2014,54092,Coimbatore,Diesel,Manual,1498 CC,88 bhp,20.14 kmpl,5,First,10.32 Lakh,11.18
673,Hyundai Elantra CRDi SX,2018,46364,Kolkata,Diesel,Manual,1582 CC,126.24 bhp,22.7 kmpl,5,First,,13.38
674,Audi Q7 3.0 TDI Quattro Premium Plus,2016,46528,Coimbatore,Diesel,Automatic,2967 CC,241.4 bhp,12.07 kmpl,7,Second,,90.62
675,Hyundai EON Era Plus,2016,22896,Pune,Petrol,Manual,814 CC,55.2 bhp,21.1 kmpl,5,First,,5.2
676,Toyota Innova Crysta 2.4 GX MT,2019,62117,Chennai,Diesel,Manual,2393 CC,147.8 bhp,13.68 kmpl,7,First,19.37 Lakh,33.33
677,Honda Amaze S i-Vtech,2019,55172,Delhi,Petrol,Manual,1198 CC,86.7 bhp,18.0 kmpl,5,First,,9.44
678,Maruti Alto 800 2016-2019 LXI,2016,64832,Ahmedabad,Petrol,Manual,796 CC,47.3 bhp,24.7 kmpl,5,First,,5.14
679,Renault Fluence Diesel E4,2016,81432,Delhi,Diesel,Manual,1461 CC,78 bhp,21.8 kmpl,5,First,,7.19
680,Hyundai Santa Fe 2WD AT,2014,88661,Delhi,Diesel,Automatic,2199 CC,194.3 bhp,13.01 kmpl,7,Second,,19.66
681,Mercedes-Benz GLE 350d,2020,27522,Coimbatore,Diesel,Automatic,2987 CC,254.79 bhp,11.57 kmpl,5,First,95.13 Lakh,111.07
682,Honda Jazz 1.2 SV i VTEC,2019,9986,Chennai,Petrol,Manual,1199 CC,88.7 bhp,18.7 kmpl,5,First,,14.05
683,Audi Q5 30 TDI quattro Premium Plus,2019,45813,Coimbatore,Diesel,Automatic,1968 CC,174.3 bhp,14.16 kmpl,5,Second,,82.51
684,Hyundai Xcent 1.2 VTVT S,2015,71668,Coimbatore,Petrol,Manual,1197 CC,81.86 bhp,20.14 kmpl,5,First,7.85 Lakh,12.33
685,Mercedes-Benz GLE 350d,2021,18356,Mumbai,Diesel,Automatic,2987 CC,254.79 bhp,11.57 kmpl,5,First,91.23 Lakh,133.67
686,Tata Bolt Quadrajet XE,2016,96322,Hyderabad,Diesel,Manual,1248 CC,74 bhp,22.95 kmpl,5,First,7.43 Lakh,7.17
687,Chevrolet Beat Diesel LS,2017,25257,Kolkata,Diesel,Manual,936 CC,57.6 bhp,25.44 kmpl,5,First,,5.68
688,Honda Jazz 1.2 S i VTEC,2017,33564,Mumbai,Petrol,Manual,1199 CC,88.7 bhp,18.7 kmpl,5,First,,9.85
689,Toyota Innova Crysta 2.4 VX MT 8S,2021,28786,Coimbatore,Diesel,Manual,2393 CC,147.8 bhp,13.68 kmpl,8,First,24.01 Lakh,43.9
690,Nissan Micra Active XL Petrol,2018,53930,Kochi,Petrol,Manual,1198 CC,67.04 bhp,19.49 kmpl,5,First,,8.69
691,Ford Fiesta 1.4 ZXi Leather,2011,70567,Chennai,Petrol,Manual,1388 CC,68 bhp,16.6 kmpl,5,Second,,4
692,Skoda Superb Elegance 1.8 TSI AT,2011,64412,Pune,Petrol,Automatic,1798 CC,157.75 bhp,13.7 kmpl,5,Second,,10.33
693,Maruti Swift VDI,2017,105854,Pune,Diesel,Manual,1248 CC,74 bhp,28.4 kmpl,5,First,8.26 Lakh,8.72
694,Hyundai EON 1.0 Kappa Magna Plus Optional,2016,9928,Kolkata,Petrol,Manual,998 CC,68.05 bhp,20.3 kmpl,5,First,,5.81
695,Honda CR-V 2.4 AT,2017,96049,Hyderabad,Petrol,Automatic,2354 CC,152 bhp,10.1 kmpl,5,First,,27.83
696,Tata Tiago AMT 1.2 Revotron XZA,2019,2004,Pune,Petrol,Automatic,1199 CC,83.83 bhp,23.84 kmpl,5,First,6.94 Lakh,9.89
697,Hyundai i10 Magna 1.2,2014,67828,Hyderabad,Petrol,Manual,1197 CC,78.9 bhp,20.36 kmpl,5,First,,5.43
698,Honda Jazz VX Diesel,2019,15665,Hyderabad,Diesel,Manual,1498 CC,98.6 bhp,27.3 kmpl,5,First,11.05 Lakh,17.3
699,Tata Nano Twist XT,2018,16284,Ahmedabad,Petrol,Manual,624 CC,37.5 bhp,25.4 kmpl,4,Second,,1.94
700,Volkswagen Polo 1.5 TDI Highline,2013,61172,Hyderabad,Diesel,Manual,1498 CC,88 bhp,20.14 kmpl,5,Second,10.15 Lakh,6.65
701,Audi Q5 3.0 TDI Quattro Technology,2019,11618,Mumbai,Diesel,Automatic,2967 CC,241.4 bhp,13.22 kmpl,5,First,,61.98
702,Maruti Ciaz VDI SHVS,2017,44125,Kochi,Diesel,Manual,1248 CC,88.5 bhp,28.09 kmpl,5,First,,14.72
703,Renault Duster 85PS Diesel RxL,2017,93992,Chennai,Diesel,Manual,1461 CC,83.8 bhp,20.45 kmpl,5,Second,,13.64
704,Maruti Wagon R VXI AMT1.2,2016,24271,Mumbai,Petrol,Automatic,1197 CC,81.80 bhp,21.5 kmpl,5,First,6.43 Lakh,7.52
705,Skoda Superb Elegance 1.8 TSI AT,2012,67742,Mumbai,Petrol,Automatic,1798 CC,157.75 bhp,13.7 kmpl,5,First,,9.12
706,Chevrolet Optra Magnum 1.6 LT ABS BS3,2012,50447,Mumbai,Petrol,Manual,1598 CC,102.5 bhp,12.9 kmpl,5,First,,4.4
707,Honda City i VTEC CVT VX,2019,64077,Kochi,Petrol,Automatic,1497 CC,117.3 bhp,18.0 kmpl,5,First,,18
708,Honda City i DTEC V,2017,42406,Kochi,Diesel,Manual,1498 CC,98.6 bhp,26.0 kmpl,5,First,,14.58
709,BMW 6 Series Gran Coupe,2017,28573,Mumbai,Diesel,Automatic,2993 CC,313 bhp,17.54 kmpl,4,First,,89.48
710,Hyundai Creta 1.6 CRDi SX Option,2017,47324,Kochi,Diesel,Manual,1582 CC,126.2 bhp,19.67 kmpl,5,First,,24.62
711,Mercedes-Benz E-Class 2009-2013 E 250 Elegance,2014,88040,Coimbatore,Petrol,Automatic,2497 CC,204 bhp,10.93 kmpl,5,First,,36.56
712,Honda Amaze S i-Dtech,2013,60504,Jaipur,Diesel,Manual,1498 CC,98.6 bhp,25.8 kmpl,5,Second,,8.03
713,Ford EcoSport 1.5 Diesel Titanium Plus,2021,84107,Kochi,Diesel,Manual,1498 CC,98.96 bhp,23.0 kmpl,5,First,12.67 Lakh,16.9
714,Hyundai i20 1.2 Spotz,2019,46976,Kochi,Petrol,Manual,1197 CC,81.83 bhp,18.6 kmpl,5,First,,14.29
715,Hyundai i10 Magna Optional 1.1L,2013,25256,Kolkata,Petrol,Manual,1086 CC,66.7 bhp,16.0 kmpl,5,First,,3.84
716,Mercedes-Benz B Class B200 CDI,2016,33009,Bangalore,Diesel,Automatic,2143 CC,107.3 bhp,15.0 kmpl,5,First,,39.99
717,Maruti Ritz VDi,2014,46791,Kolkata,Diesel,Manual,1248 CC,73.9 bhp,21.1 kmpl,5,First,,3.48
718,Chevrolet Optra Magnum 2.0 LT,2012,50644,Chennai,Diesel,Manual,1991 CC,123.7 bhp,16.52 kmpl,5,First,,8.26
719,Maruti Ertiga ZDI,2016,53061,Delhi,Diesel,Manual,1248 CC,88.8 bhp,20.77 kmpl,7,First,,12.56
720,Honda City 1.5 S MT,2014,60137,Pune,Petrol,Manual,1497 CC,118 bhp,17.0 kmpl,5,Second,,8.5
721,Maruti Swift VDI,2019,55552,Jaipur,Diesel,Manual,1248 CC,74 bhp,22.9 kmpl,5,First,,10.74
722,Volkswagen Polo 1.5 TDI Highline,2018,27311,Hyderabad,Diesel,Manual,1498 CC,88 bhp,20.14 kmpl,5,First,10.15 Lakh,12.28
723,Toyota Innova Crysta 2.8 ZX AT,2021,41820,Kochi,Diesel,Automatic,2755 CC,171.5 bhp,11.36 kmpl,7,First,27 Lakh,41
724,Maruti Dzire VXI,2012,45314,Kolkata,Petrol,Manual,1197 CC,81.80 bhp,22.0 kmpl,5,First,7.3 Lakh,5.43
725,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2020,42832,Coimbatore,Diesel,Automatic,2143 CC,204 bhp,13.0 kmpl,5,First,,63.32
726,Chevrolet Beat LT,2010,32164,Kolkata,Petrol,Manual,1199 CC,79.4 bhp,18.6 kmpl,5,First,,3.01
727,Hyundai i20 Magna Optional 1.2,2017,33434,Kochi,Petrol,Manual,1197 CC,82.9 bhp,18.5 kmpl,5,First,,9.38
728,Mercedes-Benz New C-Class 220 CDI AT,2013,23596,Kolkata,Diesel,Automatic,2143 CC,170 bhp,14.84 kmpl,5,First,,26.47
729,Toyota Innova 2.5 GX 7 STR BSIV,2016,72821,Delhi,Diesel,Manual,2494 CC,102 bhp,12.8 kmpl,7,First,,13.9
730,Nissan Micra XV CVT,2014,46365,Coimbatore,Petrol,Automatic,1198 CC,76 bhp,19.34 kmpl,5,First,,10.89
731,Toyota Innova Crysta 2.8 GX AT 8S,2018,38554,Mumbai,Diesel,Automatic,2755 CC,171.5 bhp,11.36 kmpl,8,First,21 Lakh,33.44
732,Volkswagen Passat Diesel Highline 2.0 TDI,2010,50461,Chennai,Diesel,Automatic,1968 CC,167.7 bhp,18.33 kmpl,5,First,,18.91
733,Toyota Fortuner 2.8 2WD MT,2020,53508,Coimbatore,Diesel,Manual,2755 CC,174.5 bhp,14.24 kmpl,7,First,37.17 Lakh,67.38
734,Maruti Swift VDi BSIII W/ ABS,2016,51520,Jaipur,Diesel,Manual,1248 CC,75 bhp,17.8 kmpl,5,First,,11.57
735,Maruti Ritz VXi,2014,26150,Mumbai,Petrol,Manual,1197 CC,85.80 bhp,18.5 kmpl,5,First,,6.8
736,Honda City i VTEC V,2017,33922,Kochi,Petrol,Manual,1497 CC,117.3 bhp,17.8 kmpl,5,First,,15.69
737,Hyundai i20 Magna,2015,59046,Jaipur,Petrol,Manual,1197 CC,80 bhp,18.5 kmpl,5,Second,,8.49
738,Maruti Swift ZDi,2015,55682,Hyderabad,Diesel,Manual,1248 CC,74 bhp,25.2 kmpl,5,First,,11.9
739,Tata Nano Twist XT,2018,18620,Coimbatore,Petrol,Manual,624 CC,37.5 bhp,25.4 kmpl,4,Second,,3.55
740,Toyota Etios Liva G,2013,27269,Mumbai,Petrol,Manual,1197 CC,null bhp,18.3 kmpl,5,First,,4.83
741,Maruti Wagon R AMT VXI,2019,35714,Jaipur,Petrol,Automatic,998 CC,67 bhp,20.51 kmpl,5,First,,8.7
742,Toyota Corolla Altis D-4D GL,2014,73488,Mumbai,Diesel,Manual,1364 CC,87.2 bhp,21.43 kmpl,5,First,,20.64
743,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,2017,54052,Jaipur,Diesel,Automatic,2143 CC,203 bhp,14.21 kmpl,5,First,,51.95
744,Ford Figo Diesel Titanium,2017,94762,Pune,Diesel,Manual,1399 CC,68.05 bhp,20.0 kmpl,5,First,,7.87
745,Hyundai i20 Sportz 1.2,2018,45524,Delhi,Petrol,Manual,1197 CC,81.83 bhp,18.6 kmpl,5,First,,9.55
746,Hyundai i10 Magna 1.2,2009,558059,Chennai,Petrol,Manual,1197 CC,78.9 bhp,20.36 kmpl,5,First,,5.56
747,Jaguar XJ 3.0L Portfolio LWB,2018,16147,Kochi,Diesel,Automatic,2993 CC,270.88 bhp,12.9 kmpl,5,First,,110.47
748,Hyundai Grand i10 CRDi Sportz,2016,54762,Kochi,Diesel,Manual,1120 CC,70 bhp,24.0 kmpl,5,First,,9.39
749,Maruti Swift VDI BSIV W ABS,2012,85721,Hyderabad,Diesel,Manual,1248 CC,null bhp,17.8 kmpl,5,First,,9.15
750,Hyundai i20 1.2 Magna,2014,41278,Coimbatore,Petrol,Manual,1197 CC,80 bhp,18.5 kmpl,5,Second,,7.66
751,Honda City 1.5 S AT,2017,47455,Mumbai,Petrol,Automatic,1497 CC,118 bhp,16.8 kmpl,5,First,,9.04
752,Mahindra Scorpio VLX 2WD BSIV,2016,97254,Hyderabad,Diesel,Manual,2179 CC,120 bhp,12.05 kmpl,8,First,,15.95
753,Maruti Wagon R LXI CNG,2017,44722,Mumbai,CNG,Manual,998 CC,58.2 bhp,26.2 km/kg,5,First,,7.21
754,Hyundai i20 1.4 CRDi Magna,2012,36057,Kolkata,Diesel,Manual,1396 CC,90 bhp,21.9 kmpl,5,First,,4.78
755,Hyundai Elantra CRDi SX,2015,43738,Kolkata,Diesel,Manual,1582 CC,126.24 bhp,22.7 kmpl,5,First,,12.05
756,Hyundai Santa Fe 4WD AT,2018,28599,Coimbatore,Diesel,Automatic,2199 CC,194.3 bhp,13.01 kmpl,7,First,,42.92
757,Toyota Corolla Executive (HE),2010,94410,Chennai,Petrol,Manual,1794 CC,125 bhp,13.4 kmpl,5,First,,5.81
758,Hyundai Verna 1.6 SX VTVT,2016,35730,Delhi,Petrol,Manual,1591 CC,121.3 bhp,17.01 kmpl,5,First,,15.17
759,Volkswagen Polo Diesel Trendline 1.2L,2015,59597,Chennai,Diesel,Manual,1199 CC,73.9 bhp,22.07 kmpl,5,First,,10.61
760,Renault Captur 1.5 Diesel RXL,2019,27230,Coimbatore,Diesel,Manual,1461 CC,108.45 bhp,20.37 kmpl,5,First,,26.6
761,Honda City i VTEC CVT SV,2019,8331,Mumbai,Petrol,Automatic,1497 CC,117.3 bhp,18.0 kmpl,5,First,,19.66
762,Hyundai Grand i10 Sportz,2015,59411,Chennai,Petrol,Manual,1197 CC,82 bhp,18.9 kmpl,5,Third,,7.13
763,Maruti Swift Dzire 1.2 Vxi BSIV,2016,87211,Mumbai,Petrol,Manual,1197 CC,85.8 bhp,17.5 kmpl,5,First,,6.24
764,Honda Brio S MT,2014,44878,Bangalore,Petrol,Manual,1198 CC,86.8 bhp,19.4 kmpl,5,First,,7.91
765,Hyundai Grand i10 Sportz,2017,39137,Coimbatore,Petrol,Manual,1197 CC,82 bhp,18.9 kmpl,5,First,,10.72
